127.0.0.1 - - [18/Feb/2018:17:07:41 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:07:42 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:07:42 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:07:42 +0900] "GET /WebPageProject/css/mystyle.css HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:07:42 +0900] "GET /WebPageProject/css/mystyle.css HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:07:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:08:26 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:09:05 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:13:09 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:13:35 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:13:44 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:13:44 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:13:44 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:13:59 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:14:45 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:15:53 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:16:29 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:16:56 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:19:20 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:19:43 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:20:09 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:20:19 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:22:51 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:25:50 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:28:11 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:28:11 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:29:34 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:29:34 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:40:30 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:40:30 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:41:28 +0900] "POST /WebPageProject/itemhandling.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:41:28 +0900] "GET /WebPageProject/admin.jsp HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:53:23 +0900] "GET /WebPageProject/index.jsp HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [18/Feb/2018:17:53:23 +0900] "GET /WebPageProject/media/images,shop.png HTTP/1.1" 200 20289
