0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:08:50 +0900] "GET /WebPageProject/index.jsp HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:08:50 +0900] "GET /WebPageProject/computer.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:08:57 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:06 +0900] "GET /WebPageProject/index.jsp HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:06 +0900] "GET /WebPageProject/computer.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:33 +0900] "POST /WebPageProject/login_status.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:33 +0900] "GET /WebPageProject/index.jsp HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:33 +0900] "GET /WebPageProject/css/images/footer_bg.gif HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:33 +0900] "GET /WebPageProject/computer.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:39 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:42 +0900] "GET /WebPageProject/Contacts.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:46 +0900] "GET /WebPageProject/About%20us.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:50 +0900] "GET /WebPageProject/foods.jsp HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:53 +0900] "POST /WebPageProject/shopcart.jsp HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:57 +0900] "GET /WebPageProject/movie.jsp HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:57 +0900] "GET /WebPageProject/media/movie1.jpg HTTP/1.1" 200 4847690
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:09:57 +0900] "GET /WebPageProject/media/movie2.jpg HTTP/1.1" 200 332904
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:10:04 +0900] "POST /WebPageProject/shopcart.jsp HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:13:01 +0900] "GET /WebPageProject/index.jsp HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:13:01 +0900] "GET /WebPageProject/css/images/footer_bg.gif HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [27/Feb/2018:12:13:01 +0900] "GET /WebPageProject/computer.jsp HTTP/1.1" 200 2851
