127.0.0.1 - - [12/Feb/2018:23:53:57 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:00 +0900] "GET /WebPageProject/index.jsp HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:00 +0900] "GET /WebPageProject/media/images,shop.png HTTP/1.1" 200 20289
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:00 +0900] "GET /WebPageProject/css/mystyle.css HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:00 +0900] "GET /WebPageProject/computer.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:00 +0900] "GET /WebPageProject/css/images/footer_bg.gif HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:00 +0900] "GET /WebPageProject/media/notebook.png HTTP/1.1" 200 139481
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:00 +0900] "GET /WebPageProject/media/computer.jpg HTTP/1.1" 200 32696
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:04 +0900] "GET /WebPageProject/index.jsp HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:05 +0900] "GET /WebPageProject/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:05 +0900] "GET /WebPageProject/computer.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:05 +0900] "GET /WebPageProject/css/images/footer_bg.gif HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:54:10 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:55:57 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:55:59 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:56:00 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:56:00 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:56:00 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:56:08 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:56:10 +0900] "GET /WebPageProject/index.jsp HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:56:10 +0900] "GET /WebPageProject/computer.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:56:38 +0900] "GET /WebPageProject/My%20Account.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [12/Feb/2018:23:56:46 +0900] "GET /WebPageProject/forgetpwd.html HTTP/1.1" 200 1069
